T,Biscuit,Bournvita,Bread,Butter,Coffee,Cereal,Chocolate,Curd,Eggs,Jam,Juice,Milk,Rice,Soup,Sugar,Tape
T1,1,1,,1,,1,,,,,,,,,,1
T2,,1,1,1,,1,,,,,,,,,,
T3,,,,1,1,,1,,1,1,,,,,,
T4,,1,1,1,,1,,,1,,,,,,,
T5,,1,1,,1,,1,,1,,,,,,,
T6,,,,,,,,,,1,,,,,1,
T7,1,1,,1,,1,,,,1,,,,,,
T8,,,,,,,,1,,1,,,,,1,
T9,,1,1,1,1,1,,,,,,,,,,
T10,,1,1,,1,,1,,1,,,,,,,
T11,,1,,1,,,,,1,,,,,,,
T12,,1,,1,,1,1,,1,,,,,,,
T13,1,1,1,,,,,,,,,,,,,
T14,,,1,1,1,,1,,1,,,,,,,
T15,,,,,1,1,,,,,,,,,,
T16,,,,,,,1,,,,,,,,,
T17,,,,,,,1,1,1,,,,,,,
T18,1,1,,1,,1,,,,,,,,,,
T19,,1,1,,1,,1,,1,,,,,,,
T20,,,,1,1,,1,,1,,,,,,,
T21,,,,,,,,,,1,,,,,1,1
T22,,1,1,1,,1,,,,,,,,,,
T23,,,,,1,,1,,1,1,1,,,,,
T24,,,,,,,,,,,1,1,1,,,
T25,,,,,,,,,,,,,1,1,1,
