ลำดับ,กว้าง,ยาว,หนา,น้ำหนักก่อนผ่า(g),น้ำหนักเปลือก+เนื้อหลังผ่า(g),น้ำหนักเนื้อซ้าย(g),น้ำหนักเนื้อขวา(g),น้ำหนักเนื้อรวม(g),Defectเนื้อมีจุดดำ,Defectเนื้อแหว่ง,Defectเนื้อช้ำมีจุดน้ำมัน,ความสมบูรณ์(%)
1,21.82,32.61,14.48,4.4,4.39,0.73,0.65,1.38,1,1,,50
2,20.45,29.47,12.9,4.05,4.09,0.63,0.77,1.4,,1,,50
3,26.08,35.72,18.5,7.94,7.58,1.31,1.48,2.79,,,,50
4,25.32,35.52,18.51,7.02,6.84,1.56,1.08,2.64,,,,100
5,21.88,32.49,17.26,5.8,5.65,0.62,0.96,1.58,,,,100
6,20.67,32.02,11.43,4.44,4.13,0.97,0.86,1.83,,,,100
7,22.18,30.22,13.85,5.26,5.2,0.9,1.2,2.1,,1,,50
8,22.18,32.79,13.95,4.66,4.59,0.74,0.66,1.4,,1,,50
9,24.28,39.07,15.67,6.76,6.33,1,1.28,2.28,,,,50
10,23.84,35.93,15.64,5.99,5.82,1.04,0.85,1.89,,1,,50
11,23.44,33.23,18.11,6.57,6.63,1.03,0.94,1.97,,1,,50
12,22.54,30.54,15.21,5.31,5.24,1.19,0.9,2.09,,,,100
13,21.87,34.88,16.69,5.73,5.67,0.74,0.48,1.22,,1,,50
14,22.56,32.75,14.41,4.93,4.96,0.64,0.63,1.27,,1,,50
15,26.42,34.27,15.43,6.42,6.32,1.25,0.7,1.95,,1,,50
16,22.5,29.62,15.89,5.29,5.5,0.52,0.87,1.39,,,,100
17,23.96,40.43,14.07,6.27,6.23,1.04,0.82,1.86,,,1,50
18,23.63,30.91,16.82,5.68,5.58,0.83,0.96,1.79,,,,50
19,21.25,31.23,14.79,4.51,4.24,0.65,0.23,0.88,,,1,100
20,22.01,33.49,14.05,4.4,4.33,0.62,0.43,1.05,,,,100
21,23.46,31.9,17.73,6.18,6.31,1.22,0.95,2.17,,,,100
22,23.59,36.38,16.19,6.82,6.49,0.82,1.02,1.84,,,,100
23,23.14,31.47,16.21,4.4,4.57,0.89,0.46,1.35,1,1,,50
24,21.01,39.3,11.2,3.85,3.57,0.35,1.1,1.45,,1,,50
25,22.83,35.29,14.29,5.3,5.03,0.91,0.81,1.72,,1,,50
26,25.78,36.08,15.49,7.96,7.76,1.51,1.86,3.37,,,,100
27,2.33,29.64,15.42,4.72,4.58,0.8,0.81,1.61,,,,100
28,21.98,31.13,15.42,5.44,5.38,0.88,0.98,1.86,,,,100
29,22.84,35.76,17.03,6.61,6.57,0.9,1.04,1.94,,1,,50
30,22.15,33.9,13.54,5.02,4.82,0.67,0.74,1.41,,1,1,50
31,26.54,36.07,16.98,6.55,6.42,1.23,0.86,2.09,,,,100
32,19.72,27.15,11.25,3.32,3.33,0.77,0.59,1.36,,1,,50
33,24.21,33.29,15.62,6.12,6.02,1.07,0.96,2.03,,,,100
34,20.86,31.83,14.27,4.78,4.42,0.4,0.9,1.3,,1,,50
35,21,31.56,13.11,4.44,4.43,0.75,0.65,1.4,,1,,50
36,22.65,35.16,25.16,5.89,5.77,0.88,0.53,1.41,,,,50
37,26.4,36.34,18.18,8.18,8.15,1.24,0.94,2.18,,,,100
38,22.51,29.42,13.52,3.94,3.72,0.52,0.45,0.97,,1,,50
39,24.71,34.52,17.59,7.16,7.28,0.89,1.22,2.11,,,,100
40,23.5,35.03,16.53,6.39,6.23,0.78,1.36,2.14,,,,100
41,23.5,31.58,19.58,6.51,6.49,0.91,0.9,1.81,,1,,50
42,22.43,10.78,14.26,5.3,5.07,0.97,0.59,1.56,,,,100
43,16.89,11.06,12.06,6.44,6.12,4.75,0.67,5.42,,1,,50
44,22.4,29.28,14.94,5.67,5.17,0.37,0.2,0.57,,1,,50
45,23.17,31.7,14.45,5.59,5.57,1.2,0.47,1.67,,,,100
46,22.58,32.44,16.17,5.69,5.71,0.94,0.92,1.86,,1,,50
47,24.19,30.92,17.21,6.52,5.26,1.05,1,2.05,,,,100
48,24.01,33.19,16.92,6.17,6.02,1.23,1.3,2.53,,1,,50
49,25.3,38.05,16.2,7.66,7.52,1.1,1.2,2.3,,1,1,50
50,23.22,32.65,15.32,5.35,5.26,0.8,0.96,1.76,,1,,50
