"State","Year","Data.Rates.Property.Burglary","Data.Rates.Property.Larceny","Data.Rates.Property.Motor","Data.Rates.Violent.Assault","Data.Rates.Violent.Murder","Data.Rates.Violent.Rape","Data.Rates.Violent.Robbery"
"Alabama",1960,355.9,592.1,87.3,138.1,12.4,8.6,27.5
"Alabama",1961,339.3,569.4,76.8,128.9,12.9,7.6,19.1
"Alabama",1962,349.1,634.5,83.4,119.0,9.4,6.5,22.5
"Alabama",1963,376.9,683.4,90.6,142.1,10.2,5.7,24.7
"Alabama",1964,466.6,784.1,108.0,163.0,9.3,11.7,29.1
"Alabama",1965,473.7,812.1,106.9,149.1,11.4,10.6,28.7
"Alabama",1966,527.5,869.6,131.0,177.7,10.9,9.7,32.0
"Alabama",1967,571.4,895.0,146.0,183.5,11.7,10.5,33.0
"Alabama",1968,628.2,967.7,170.7,168.5,11.8,11.1,41.0
"Alabama",1969,667.2,1037.8,171.2,181.7,13.7,14.0,41.0
"Alabama",1970,776.4,1184.0,223.5,215.2,11.7,18.5,50.3
"Alabama",1971,791.8,1173.9,221.2,219.7,15.1,19.0,57.6
"Alabama",1972,789.6,1096.7,195.0,211.7,14.1,18.8,68.6
"Alabama",1973,897.3,1107.8,227.2,236.3,13.2,21.2,79.4
"Alabama",1974,1057.9,1308.7,260.6,235.6,15.0,22.7,99.6
"Alabama",1975,1163.8,1645.5,270.3,233.5,16.0,20.4,123.0
"Alabama",1976,1170.0,1987.2,262.3,256.0,15.1,21.7,96.0
"Alabama",1977,1135.5,1881.9,280.7,278.3,14.2,25.2,96.8
"Alabama",1978,1229.3,1987.9,302.5,281.2,13.3,25.5,99.1
"Alabama",1979,1287.3,2223.2,320.1,263.1,13.2,27.5,109.5
"Alabama",1980,1526.7,2642.2,316.2,273.2,13.2,30.0,132.1
"Alabama",1981,1450.7,2693.3,284.2,306.1,11.9,26.1,126.5
"Alabama",1982,1256.2,2656.4,273.3,299.1,10.6,26.0,112.0
"Alabama",1983,1073.1,2381.4,230.5,284.9,9.2,23.5,98.4
"Alabama",1984,1001.8,2235.5,233.6,300.6,9.4,25.1,96.1
